distance,speed,heart_rate,cadence,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
2.47,0.886,108,0,0,267.6,44.984700260683894,-93.20219068787992,7110522021,267.77413541666664,0.17413541666661558,2021-07-12T00:12:19Z
11.38,2.501,108,91,1,267.58,44.9846204649657,-93.20217895321548,7110522021,267.789606442577,0.20960644257701233,2021-07-12T00:12:20Z
11.38,2.501,107,91,2,267.58,44.9846204649657,-93.20217895321548,7110522021,267.8050251322751,0.2250251322751069,2021-07-12T00:12:21Z
16.84,3.77,106,91,3,267.63,44.984572269022465,-93.2021655421704,7110522021,267.81964786967416,0.18964786967416103,2021-07-12T00:12:22Z
22.44,5.365,104,97,4,267.62,44.98452566564083,-93.2021383009851,7110522021,267.83402261904763,0.21402261904762554,2021-07-12T00:12:23Z
34.44,5.99,104,97,5,267.75,44.984442852437496,-93.20204174146056,7110522021,267.8479126984127,0.09791269841269923,2021-07-12T00:12:24Z
34.44,5.99,104,97,6,267.75,44.984442852437496,-93.20204174146056,7110522021,267.8608647186147,0.11086471861472091,2021-07-12T00:12:25Z
41.25,6.102,104,95,7,267.77,44.98440530151129,-93.20197342894971,7110522021,267.87281469979297,0.10281469979298663,2021-07-12T00:12:26Z
54.23,6.308,104,95,8,267.75,44.98435752466321,-93.20182372815908,7110522021,267.8834712301587,0.13347123015870466,2021-07-12T00:12:27Z
54.23,6.308,104,95,9,267.75,44.98435752466321,-93.20182372815908,7110522021,267.8931038095238,0.14310380952377955,2021-07-12T00:12:28Z
60.65,6.308,104,95,10,267.79,44.98434629291296,-93.20174393244088,7110522021,267.90232509157505,0.11232509157503046,2021-07-12T00:12:29Z
73.16,6.14,103,95,11,267.9,44.98435785993934,-93.20158652029932,7110522021,267.9111807760141,0.011180776014100502,2021-07-12T00:12:30Z
73.16,6.14,103,94,12,267.9,44.98435785993934,-93.20158652029932,7110522021,267.9205263605442,0.020526360544238287,2021-07-12T00:12:31Z
78.89,6.149,103,94,13,267.94,44.9843720253557,-93.20151653140783,7110522021,267.9306067323481,-0.009393267651887527,2021-07-12T00:12:32Z
84.65,6.102,103,94,14,268.03,44.98439507558942,-93.20145106874406,7110522021,267.94149126984126,-0.08850873015870775,2021-07-12T00:12:33Z
90.18,6,101,93,15,268,44.98442281968891,-93.20139289833604,7110522021,267.95310215053763,-0.04689784946236841,2021-07-12T00:12:34Z
95.91,5.897,101,93,16,268.01,44.9844616279006,-93.20134495384993,7110522021,267.9771459293395,-0.032854070660505386,2021-07-12T00:12:35Z
107.28,5.794,99,93,17,268.07,44.984553242102265,-93.20128217339516,7110522021,268.0021505376344,-0.06784946236558653,2021-07-12T00:12:36Z
107.28,5.794,99,93,18,268.07,44.984553242102265,-93.20128217339516,7110522021,268.027465437788,-0.042534562211983484,2021-07-12T00:12:37Z
112.71,5.785,98,93,19,268.14,44.984600599855185,-93.20126490667462,7110522021,268.05290322580646,-0.08709677419352602,2021-07-12T00:12:38Z
118.21,5.766,101,92,20,268.15,44.984649466350675,-93.20125384256244,7110522021,268.0785253456221,-0.07147465437788014,2021-07-12T00:12:39Z
123.44,5.729,125,91,21,268.14,44.9846963211894,-93.20124755613506,7110522021,268.10456221198154,-0.03543778801844155,2021-07-12T00:12:40Z
128.91,5.71,136,91,22,268.17,44.98474535532296,-93.20124118588863,7110522021,268.13133640552996,-0.03866359447005152,2021-07-12T00:12:41Z
